id,school_type,school_level,charter,year,state,zip_code,percent_college,rate_unemployment,percent_married,median_income,average_act,percent_lunch,fte_teachers
120039003838.0,Regular School,High,Yes,2016-2017,FL,33016,0.380607411535247,0.198321417469692,0.500954198473282,29637.0,20.3724053724054,0.605919907138712,73.0
120039003973.0,Regular School,High,Yes,2016-2017,FL,33133,0.91340782122905,0.0464625131995776,0.965909090909091,64236.0,19.2979242979243,0.28023598820059,26.0
120039003975.0,Regular School,High,Yes,2016-2017,FL,33032,0.557308970099668,0.159880089932551,0.488250652741514,44224.0,17.0757020757021,0.64756446991404,13.0
120039003977.0,Regular School,High,Yes,2016-2017,FL,33135,0.314133591481123,0.0429042904290429,0.797788309636651,25616.0,19.8107448107448,0.522388059701492,29.0
120039004077.0,Regular School,High,No,2016-2017,FL,33185,0.517149220489978,0.116410256410256,0.9254327563249,48171.0,19.981684981685,0.483467170524327,178.0
120039004078.0,Regular School,High,No,2016-2017,FL,33177,0.389681668496158,0.134422110552764,0.517647058823529,37760.0,19.3223443223443,0.591111111111111,87.0
120039004339.0,Regular School,High,No,2016-2017,FL,33014,0.697404580152672,0.0648957632817754,0.674975074775673,55098.0,20.4945054945055,0.604635310156783,59.0
120039004340.0,Regular School,High,No,2016-2017,FL,33196,0.756371049949032,0.0790645879732739,0.792146242383209,62765.0,18.3699633699634,0.567686967497633,115.0
120039004726.0,Regular School,High,No,2016-2017,FL,33178,0.749049429657795,0.0,0.855072463768116,48250.0,20.6654456654457,0.343824511206485,83.0
120039005493.0,Regular School,High,Yes,2016-2017,FL,33172,0.852833941000994,0.0382674516400336,0.719903206291591,62158.0,20.982905982906,0.321212121212121,6.0
120039005861.0,Regular School,High,No,2016-2017,FL,33012,0.301009214567793,0.14185544768069,0.449640287769784,25490.0,19.7619047619048,0.794063079777365,78.0
120039006229.0,Regular School,High,No,2016-2017,FL,33018,0.389159561510353,0.124028387968908,0.602141680395387,43882.0,18.1746031746032,0.701822916666667,107.0
120039007077.0,Regular School,High,Yes,2016-2017,FL,33015,0.612367021276596,0.067749740753543,0.830533235938641,78531.0,19.004884004884,0.540967423494571,46.0
120039007242.0,Regular School,High,Yes,2016-2017,FL,33130,0.251789027299231,0.0710172744721689,0.319845857418112,16258.0,19.4688644688645,0.847025495750708,13.0
120039007453.0,Regular School,High,Yes,2016-2017,FL,33185,0.617010036978341,0.130565583634176,0.689300411522634,50703.0,18.1257631257631,0.511961722488038,15.0
120039007456.0,Regular School,High,Yes,2016-2017,FL,33183,0.610659072416599,0.0542828685258964,0.815094339622642,65854.0,24.3772893772894,0.312775330396476,29.0
120039007496.0,Regular School,High,No,2016-2017,FL,33128,0.404627539503386,0.301027900146843,0.130272952853598,14000.0,20.6166056166056,0.650704225352113,19.0
120039007634.0,Regular School,High,No,2016-2017,FL,33173,0.744667697063369,0.111075234097514,0.639722863741339,43660.0,22.5946275946276,0.274596998332407,71.0
120039007635.0,Regular School,High,No,2016-2017,FL,33160,0.596978557504873,0.185109637939827,0.37888198757764,25060.0,19.3223443223443,0.518835616438356,61.0
120039007923.0,Regular School,High,No,2016-2017,FL,33030,0.285309278350515,0.0975536992840095,0.642982456140351,28661.0,18.1501831501831,0.54140127388535,27.0
120042000620.0,Regular School,High,No,2016-2017,FL,34266,0.340734028092433,0.13054435483871,0.411570247933884,37471.0,19.3956043956044,0.697127937336815,68.0
120048000648.0,Regular School,High,No,2016-2017,FL,32205,0.834215167548501,0.0591979630808402,0.740437158469945,45172.0,17.7106227106227,0.528219178082192,92.0
120048000649.0,Regular School,High,No,2016-2017,FL,32206,0.34901222953904,0.236645605973578,0.141382049245433,20212.0,15.976800976801,0.69472182596291,37.0
120048000671.0,Regular School,High,No,2016-2017,FL,32254,0.327303561334087,0.153146853146853,0.0679824561403509,26369.0,23.5225885225885,0.192666666666667,75.0
120048000681.0,Regular School,High,No,2016-2017,FL,32211,0.452452025586354,0.132258064516129,0.575256107171001,42854.0,17.7106227106227,0.530744336569579,88.0
120048000685.0,Regular School,High,No,2016-2017,FL,32207,0.512146255947909,0.104052287581699,0.395441030723489,33693.0,16.4652014652015,0.586054233536248,87.0
120048000691.0,Regular School,High,No,2016-2017,FL,32208,0.391902215431627,0.181720430107527,0.100719424460432,25517.0,16.0989010989011,0.539629005059022,72.0
120048000706.0,Regular School,High,No,2016-2017,FL,32209,0.398521505376344,0.185680566483084,0.180722891566265,19228.0,26.4529914529915,0.0941408821593153,79.0
120048000714.0,Regular School,High,No,2016-2017,FL,32209,0.38689407540395,0.151376146788991,0.195652173913043,27548.0,15.3174603174603,0.632790028763183,56.0
120048000748.0,Regular School,High,No,2016-2017,FL,32266,0.842681258549932,0.0334745762711864,0.9312,68026.0,21.6666666666667,0.249885373681797,100.0
120048000749.0,Regular School,High,No,2016-2017,FL,32217,0.503605422555524,0.104638009049774,0.526007802340702,26196.0,17.1489621489621,0.589424572317263,52.0
120048000759.0,Regular School,High,No,2016-2017,FL,32246,0.680165894120517,0.10305541170378,0.720038816108685,55728.0,20.4700854700855,0.345533915379449,128.0
120048000762.0,Regular School,High,No,2016-2017,FL,32244,0.48961038961039,0.193154761904762,0.344390607528886,43768.0,15.7326007326007,0.482317531978932,85.0
120048000767.0,Regular School,High,No,2016-2017,FL,32210,0.464956195244055,0.175616835994194,0.165853658536585,30587.0,18.6385836385836,0.540675844806007,88.0
120048000772.0,Regular School,High,No,2016-2017,FL,32210,0.48961038961039,0.193154761904762,0.344390607528886,43768.0,17.3443223443223,0.448901623686724,60.0
120048000773.0,Regular School,High,No,2016-2017,FL,32209,0.398521505376344,0.185680566483084,0.180722891566265,19228.0,14.8778998778999,0.609576427255985,31.0
120048002469.0,Regular School,High,No,2016-2017,FL,32207,0.485194324491055,0.168355416991426,0.447166921898928,28571.0,22.1062271062271,0.126436781609195,59.0
120048002744.0,Regular School,High,No,2016-2017,FL,32258,0.825536480686695,0.082874251497006,0.869796279893711,97904.0,21.3003663003663,0.184555984555985,125.0
120048002745.0,Regular School,High,No,2016-2017,FL,32218,0.571403477955384,0.120553780617678,0.782128197031891,54417.0,17.7106227106227,0.402159827213823,94.0
120048007629.0,Regular School,High,No,2016-2017,FL,32256,0.881329466874861,0.0507179249652617,0.716927453769559,50886.0,20.3724053724054,0.218030377266046,104.0
